Invoice Number,Driver Number,Invoice Date,Item Number,Item Description,Item Cost,Item Quantity,Item Subtotal,Item HST,Item Total
1001,1916,2022-07-05,001,Fuel,50.00,1,50.00,7.50,57.50
1002,1917,2022-08-10,002,Vehicle Registration Renewal,100.00,1,100.00,15.00,115.00
1003,1918,2022-09-15,003,Car Maintenance,120.00,1,120.00,18.00,138.00
1004,1919,2022-10-20,004,Tire Replacement,200.00,1,200.00,30.00,230.00
1005,1920,2022-11-25,005,Oil Change,80.00,1,80.00,12.00,92.00
1006,1921,2022-12-30,006,Car Wash,20.00,3,60.00,9.00,69.00
1007,1916,2023-01-05,007,Insurance Premium,150.00,1,150.00,22.50,172.50
1008,1917,2023-02-10,008,Vehicle Registration Renewal,100.00,1,100.00,15.00,115.00
1009,1918,2023-03-15,009,Brake Replacement,300.00,1,300.00,45.00,345.00
1010,1919,2023-04-20,010,Car Maintenance,120.00,1,120.00,18.00,138.00
1011,1920,2023-05-25,011,Car Equipment Purchase,180.00,1,180.00,27.00,207.00
1012,1921,2023-06-30,012,Oil Change,80.00,1,80.00,12.00,92.00
1013,1916,2023-07-05,013,Fuel,50.00,1,50.00,7.50,57.50
1014,1917,2023-08-10,014,Vehicle Registration Renewal,100.00,1,100.00,15.00,115.00
1015,1918,2023-09-15,015,Car Maintenance,120.00,1,120.00,18.00,138.00
